SampleID	SampleDescription	StudyID	Timepoint	Remission	Breed_Strain	Sex	DogName	Description	Timepoint2	Comments	CCECAI	AlphamuricholicAcid	BetamuricholicAcid	ChenodeoxycholicAcid_primary	CholicAcid_primary	DeoxycholicAcid	GammamuricholicAcid	GlycochenodeoxycholicAcid	GlycocholicAcid	GlycodeoxycholicAcid	LithocholicAcid	OmegamuricholicAcid	TaurochenodeoxycholicAcid	TaurocholicAcid	TaurodeoxycholicAcid	TaurolithocholicAcid	His	Ser	Arg	Gly	Asp	Glu	Thr	Ala	Pro	Cys	Lys	Tyr	Met	Val	Ile	Leu	Phe	AceticAcid	PropionicAcid	IsobutyricAcid	ButyricAcid	IsovalericAcid	ValericAcid	IsocaproicAcid	CaproicAcid	HeptanoicAcid
12647	Augustus_d0_DogFecal	C166_36	0	Complex	EnglishMastiff	M	Augustus	DogFecal	Day0	Normal	5	17.46213	0.5	8.52079	169.12689	308.567315	0.5	1.654215	0.5	0.5	0.5	30.07144	10.769275	56.282795	3.953055	0.78218	0.5	0.5	9.38	0.5	7.595	43.74	0.5	0.5	7.15	0.5	6.58	72.685	14.1	37.935	16.74	44.95	70.63	21.225	94.94	26.85	164.63	0.5	0.5	0.5	0.5	0.5
12648	Augustus_d14_DogFecal	C166_36	14	Complex	EnglishMastiff	M	Augustus	DogFecal	Day14	Normal	1	0.5	23.44428	565.69353	1206.35376	652.462695	581.976975	1.740205	1.879975	0.5	0.5	559.0718	4.282485	13.547515	0.93876	1.212465	26.96	26.765	63.045	110.415	9.865	190.87	71.97	0.5	126.01	2.29	54.2	109.735	49.825	158.16	115.65	234.145	109.75	29.72	73.18	0.5	188.695	14.76	0.5	17.805	0.5	0.5
12649	Augustus_d42_DogFecal	C166_36	42	Complex	EnglishMastiff	M	Augustus	DogFecal	Day42	Normal	2	0.5	72.14702	169.236695	701.537515	0.5	786.221885	2.53831	1.58913	0.5	0.5	692.80159	51.091115	77.40922	0.5	0.5	30.64	17.265	34.435	64.34	15.205	95.92	49.855	0.5	87.285	8.55	25.075	52.18	28.14	70.795	49.745	109.145	54.395	11.355	18.09	0.5	127.635	31.825	0.5	0.5	0.5	0.5
10815	Bandit_d0_DogFecal	C166_01	0	Complex	Mixed	M	Bandit	DogFecal	Day0	Normal	2	1170.33048	47.34261	275.77371	1039.42242	0.5	22.13223	0.42892	2.34824	0.34177	0.5	0.5	8.02642	11.33581	0.19184	0.91991	0.5	32.3	27.97	107.83	1.31	49.37	145.6	283.01	64.01	6.86	44.94	26.12	88.66	525.53	138.56	238.53	173.85	62.64	171.33	26.67	1.86	0.5	0.5	0.98	0.5	0.5
10943	Bandit_d0_DogFecal	C166_01	0	Complex	Mixed	M	Bandit	DogFecal	Day0	Normal	2	1170.33048	47.34261	275.77371	1039.42242	0.5	22.13223	0.42892	2.34824	0.34177	0.5	0.5	8.02642	11.33581	0.19184	0.91991	0.5	32.3	27.97	107.83	1.31	49.37	145.6	283.01	64.01	6.86	44.94	26.12	88.66	525.53	138.56	238.53	173.85	62.64	171.33	26.67	1.86	0.5	0.5	0.98	0.5	0.5
11535	Bandit_d0_DogFecal	C166_01	0	Complex	Mixed	M	Bandit	DogFecal	Day0	Normal	2	1170.33048	47.34261	275.77371	1039.42242	0.5	22.13223	0.42892	2.34824	0.34177	0.5	0.5	8.02642	11.33581	0.19184	0.91991	0.5	32.3	27.97	107.83	1.31	49.37	145.6	283.01	64.01	6.86	44.94	26.12	88.66	525.53	138.56	238.53	173.85	62.64	171.33	26.67	1.86	0.5	0.5	0.98	0.5	0.5
10816	Bandit_d14_DogFecal	C166_01	14	Complex	Mixed	M	Bandit	DogFecal	Day14	Normal	1	1572.61009	15.0917	226.28825	1015.47106	0.5	29.39593	0.50884	2.33552	0.23723	0.5	0.5	1.2803	10.52465	0.72685	0.84045	0.5	6.84	31.86	17.61	3.21	59.53	40.93	113.65	43.74	1.97	48.44	41.73	52.61	188.58	59.33	103.58	81.1	73.09	81.27	58.6	4.05	1.33	0.5	15.25	0.79	0.5
10944	Bandit_d14_DogFecal	C166_01	14	Complex	Mixed	M	Bandit	DogFecal	Day14	Normal	1	1572.61009	15.0917	226.28825	1015.47106	0.5	29.39593	0.50884	2.33552	0.23723	0.5	0.5	1.2803	10.52465	0.72685	0.84045	0.5	6.84	31.86	17.61	3.21	59.53	40.93	113.65	43.74	1.97	48.44	41.73	52.61	188.58	59.33	103.58	81.1	73.09	81.27	58.6	4.05	1.33	0.5	15.25	0.79	0.5
11536	Bandit_d14_DogFecal	C166_01	14	Complex	Mixed	M	Bandit	DogFecal	Day14	Normal	1	1572.61009	15.0917	226.28825	1015.47106	0.5	29.39593	0.50884	2.33552	0.23723	0.5	0.5	1.2803	10.52465	0.72685	0.84045	0.5	6.84	31.86	17.61	3.21	59.53	40.93	113.65	43.74	1.97	48.44	41.73	52.61	188.58	59.33	103.58	81.1	73.09	81.27	58.6	4.05	1.33	0.5	15.25	0.79	0.5
10806	Bandit_d28_DogFecal	C166_01	28	Complex	Mixed	M	Bandit	DogFecal	Day28	Normal	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
