Genus	Group	Log2foldchange	Pvalue	Difference	Abs_Log2foldchange
Paeniclostridium	DR	-5.27293871	0.027237554	Down	5.27293871
Fusobacterium	NDR	-5.200423824	0.000171626	Down	5.200423824
Roseburia	NDR	-4.629331409	0.038125198	Down	4.629331409
Parabacteroides	DR	-4.187881917	0.022659151	Down	4.187881917
uncultured	NDR	-3.910359401	0.034893103	Down	3.910359401
Corynebacterium 1	DR	-3.848897062	0.000593497	Down	3.848897062
Phascolarctobacterium	NDR	-3.763688245	0.010996776	Down	3.763688245
Tyzzerella 4	DR	-3.425400931	0.001998414	Down	3.425400931
Frederiksenia	DR	-3.353657356	0.034840277	Down	3.353657356
Sutterella	NDR	-3.295528333	0.02288384	Down	3.295528333
Bacteroides	NDR	-3.114710765	0.00867866	Down	3.114710765
Intestinibacter	DR	-2.92997488	0.01182613	Down	2.92997488
Alloprevotella	DR	-2.271583746	0.019537567	Down	2.271583746
Clostridium sensu stricto 1	DR	-2.2460336	0.015040797	Down	2.2460336
Fusobacterium	DR	-2.208918613	0.005601192	Down	2.208918613
Escherichia-Shigella	DR	-2.167154821	0.013180103	Down	2.167154821
Enterococcus	DR	-2.15951401	0.013548291	Down	2.15951401
Lachnoclostridium	NDR	-1.935230519	0.04471543	Down	1.935230519
Bifidobacterium	DR	3.089069846	0.00836368	Up	3.089069846
Streptococcus	DR	3.397946154	0.000181662	Up	3.397946154
Megasphaera	DR	3.547696741	0.019712996	Up	3.547696741
Streptococcus	NDR	5.131854356	5.56E-06	Up	5.131854356
Candidatus Arthromitus	NDR	5.53819187	0.002437229	Up	5.53819187
