#SampleID	original-sample-ids	StudyID	Timepoint	Remission	Breed_Strain	Sex	DogName	Description	Timepoint2
Augustus_d0_DogFecal	12647	C166_36	0	Complex	English Mastiff	M	Augustus	DogFecal	Day0
Augustus_d14_DogFecal	12648	C166_36	14	Complex	English Mastiff	M	Augustus	DogFecal	Day14
Augustus_d42_DogFecal	12649	C166_36	42	Complex	English Mastiff	M	Augustus	DogFecal	Day42
Bandit_d0_DogFecal	"(10815, 10943, 11535)"	C166_01	0	Complex	Mixed	M	Bandit	DogFecal	Day0
Bandit_d14_DogFecal	"(10816, 10944, 11536)"	C166_01	14	Complex	Mixed	M	Bandit	DogFecal	Day14
Bandit_d28_DogFecal	"(10806, 10945, 11527, 11553, 12227)"	C166_01	28	Complex	Mixed	M	Bandit	DogFecal	Day28
Bandit_d42_DogFecal	"(10807, 10946, 11517, 11528, 11554)"	C166_01	42	Complex	Mixed	M	Bandit	DogFecal	Day42
Gidget_d0_DogFecal	"(10832, 12636)"	C166_10	0	Complex	"(Yorkshire_terrier, Yorkshire Terrier)"	"(F, FS)"	Gidget	DogFecal	Day0
Gidget_d14_DogFecal	10841	C166_10	14	Complex	Yorkshire_terrier	F	Gidget	DogFecal	Day14
Gidget_d28_DogFecal	10845	C166_10	28	Complex	Yorkshire_terrier	F	Gidget	DogFecal	Day28
Gidget_d42_DogFecal	"(10846, 10913, 11544)"	C166_10	42	Complex	Yorkshire_terrier	F	Gidget	DogFecal	Day42
Kodiak_d0_DogFecal	"(10910, 11545, 11732)"	C166_22	0	Complex	Greater_Swiss_Mountain_Dog	M	Kodiak	DogFecal	Day0
Kodiak_d14_DogFecal	"(11733, 12206, 12638)"	C166_22	14	Complex	"(Greater_Swiss_Mountain_Dog, Greater Swiss Mtn Dog, Greater Swiss Mountain)"	"(M, MN, MN)"	Kodiak	DogFecal	Day14
Kodiak_d28_DogFecal	"(11734, 12750)"	C166_22	28	Complex	Greater_Swiss_Mountain_Dog	M	Kodiak	DogFecal	Day28
Kodiak_d42_DogFecal	"(11735, 12207, 12639)"	C166_22	42	Complex	"(Greater_Swiss_Mountain_Dog, Greater Swiss Mtn Dog, Greater Swiss Mountain)"	"(M, MN, MN)"	Kodiak	DogFecal	Day42
Olivia_d0_DogFecal	"(10805, 10934)"	C166_09	0	Complex	Dachshund	F	Olivia	DogFecal	Day0
Olivia_d14_DogFecal	"(10838, 10935, 11542, 11547)"	C166_09	14	Complex	Dachshund	F	Olivia	DogFecal	Day14
Olivia_d28_DogFecal	"(10839, 10936, 11543, 11548)"	C166_09	28	Complex	Dachshund	F	Olivia	DogFecal	Day28
Olivia_d42_DogFecal	"(10830, 10937, 11549)"	C166_09	42	Complex	Dachshund	F	Olivia	DogFecal	Day42
Olivia_d56_DogFecal	"(10831, 10938, 11537, 11550)"	C166_09	56	Complex	Dachshund	F	Olivia	DogFecal	Day56
Rascal_d0_DogFecal	10823	C166_05	0	Complex	Beagle	F	Rascal	DogFecal	Day0
Rascal_d14_DogFecal	10824	C166_05	14	Complex	Beagle	F	Rascal	DogFecal	Day14
Rascal_d28_DogFecal	10825	C166_05	28	Complex	Beagle	F	Rascal	DogFecal	Day28
Rascal_d42_DogFecal	"(10812, 10942, 11532, 11552)"	C166_05	42	Complex	Beagle	F	Rascal	DogFecal	Day42
Rascal_d56_DogFecal	10827	C166_05	56	Complex	Beagle	F	Rascal	DogFecal	Day56
Simba_d0_DogFecal	"(10809, 10939, 11529)"	C166_08	0	Complex	Mixed	M	Simba	DogFecal	Day0
Simba_d14_DogFecal	"(10835, 10941, 11540)"	C166_08	14	Complex	Mixed	M	Simba	DogFecal	Day14
Simba_d28_DogFecal	"(10836, 10940, 11541, 11551)"	C166_08	28	Complex	Mixed	M	Simba	DogFecal	Day28
Simba_d42_DogFecal	10837	C166_08	42	Complex	Mixed	M	Simba	DogFecal	Day42
Vader_d0_DogFecal	12652	C166_30	0	Complex	Mixed Breed	MN	Vader	DogFecal	Day0
Vader_d14_DogFecal	11748	C166_30	14	Complex	Mixed	M	Vader	DogFecal	Day14
Vader_d28_DogFecal	11867	C166_30	28	Complex	Mixed	M	Vader	DogFecal	Day28
Vader_d42_DogFecal	11754	C166_30	42	Complex	Mixed	M	Vader	DogFecal	Day42
Weezy_d0_DogFecal	11740	C166_26	0	Complex	English_Mastiff	F	Weezy	DogFecal	Day0
Weezy_d14_DogFecal	11741	C166_26	14	Complex	English_Mastiff	F	Weezy	DogFecal	Day14
Weezy_d28_DogFecal	11742	C166_26	28	Complex	English_Mastiff	F	Weezy	DogFecal	Day28
Weezy_d42_DogFecal	11743	C166_26	42	Complex	English_Mastiff	F	Weezy	DogFecal	Day42
Weezy_d56_DogFecal	"(11744, 12218)"	C166_26	56	Complex	English_Mastiff	F	Weezy	DogFecal	Day56
Bebe_d0_DogFecal	"(10814, 10947, 11534, 11555)"	C166_03	0	Diet	Cocker_Spaniel	F	Bebe	DogFecal	Day0
Bebe_d14_DogFecal	10808	C166_03	14	Diet	Cocker_Spaniel	F	Bebe	DogFecal	Day14
Bebe_d28_DogFecal	10817	C166_03	28	Diet	Cocker_Spaniel	F	Bebe	DogFecal	Day28
Brock_d0_DogFecal	10847	C166_12	0	Diet	Mixed	M	Brock	DogFecal	Day0
Brock_d14_DogFecal	10848	C166_12	14	Diet	Mixed	M	Brock	DogFecal	Day14
Brock_d28_DogFecal	10849	C166_12	28	Diet	Mixed	M	Brock	DogFecal	Day28
Brock_d42_DogFecal	10695	C166_12	42	Diet	Mixed	M	Brock	DogFecal	Day42
Bugsy_d0_DogFecal	10828	C166_06	0	Diet	Mixed	M	Bugsy	DogFecal	Day0
Bugsy_d14_DogFecal	10818	C166_06	14	Diet	Mixed	M	Bugsy	DogFecal	Day14
Bugsy_d28_DogFecal	10819	C166_06	28	Diet	Mixed	M	Bugsy	DogFecal	Day28
Bugsy_d42_DogFecal	10820	C166_06	42	Diet	Mixed	M	Bugsy	DogFecal	Day42
Daphne_d0_DogFecal	"(11728, 11758)"	C166_24	0	Diet	Husky	F	Daphne	DogFecal	Day0
Daphne_d14_DogFecal	"(11729, 12188)"	C166_24	14	Diet	Husky	F	Daphne	DogFecal	Day14
Daphne_d28_DogFecal	"(11730, 12751)"	C166_24	28	Diet	Husky	F	Daphne	DogFecal	Day28
Daphne_d42_DogFecal	"(11731, 12189)"	C166_24	42	Diet	Husky	F	Daphne	DogFecal	Day42
Georgio_d0_DogFecal	11700	C166_32	0	Diet	Greyhound	M	Georgio	DogFecal	Day0
Georgio_d14_DogFecal	11701	C166_32	14	Diet	Greyhound	M	Georgio	DogFecal	Day14
Georgio_d28_DogFecal	11794	C166_32	28	Diet	Greyhound	M	Georgio	DogFecal	Day28
Georgio_d42_DogFecal	11702	C166_32	42	Diet	Greyhound	M	Georgio	DogFecal	Day42
Gunner_d0_DogFecal	"(11703, 12193)"	C166_33	0	Diet	"(German_Shepherd, German Shepherd)"	M	Gunner	DogFecal	Day0
