Genus	Group	Log2foldchange	Pvalue	Difference	Abs_Log2foldchange
Fusobacterium	NDR	-4.201095568	0.00320441	Down	4.201095568
Phascolarctobacterium	NDR	-3.445523871	0.019610896	Down	3.445523871
Tyzzerella 4	DR	-3.372824091	0.002536736	Down	3.372824091
Parabacteroides	DR	-3.231766312	0.00412321	Down	3.231766312
Sutterella	NDR	-3.229326957	0.030621427	Down	3.229326957
Frederiksenia	DR	-3.198766006	0.034613815	Down	3.198766006
Fusobacterium	DR	-2.68480366	0.001181303	Down	2.68480366
Corynebacterium 1	DR	-2.612442837	0.007152609	Down	2.612442837
Escherichia-Shigella	DR	-2.608414043	0.004505983	Down	2.608414043
Intestinibacter	DR	-2.495803915	0.027789819	Down	2.495803915
Enterococcus	DR	-2.107740953	0.01812452	Down	2.107740953
Clostridium sensu stricto 1	DR	-1.798826234	0.047754833	Down	1.798826234
Lachnospiraceae NC2004 group	DR	1.705622886	0.036687456	Up	1.705622886
Ambiguous_taxa	DR	2.670596015	0.039145101	Up	2.670596015
Streptococcus	DR	3.117079464	0.000488828	Up	3.117079464
Streptococcus	NDR	3.495659054	0.003712332	Up	3.495659054
Bifidobacterium	DR	3.725790375	0.001024023	Up	3.725790375
Megasphaera	DR	3.726925078	0.013067457	Up	3.726925078
Peptoclostridium	DR	1.458842205	0.04926774	Up	1.458842205
